design_change,patch_size,patch_churn,diff_complexity,diff_size,number_comments,number_users,number_contributors,number_core_devs,opened_by,number_of_patches,words_in_discussion,words_per_comment_in_discussion,snippets_size,mean_time_between_replies,discussion_length
False,2.0,17.0,45.0,354.0,1,0,0,1,employee,0,2,2.0,0,0.0,0
False,3.0,150.0,42.0,378.0,2,0,2,0,employee,0,4,2.0,0,0.0,0
True,8.0,462.0,129.0,979.0,7,0,2,1,employee,0,117,16.714285714285715,0,0.42857142857142855,3
True,13.0,107.0,491.0,3861.0,3,0,2,1,employee,0,23,7.666666666666667,0,0.0,0
True,43.0,3592.0,1066.0,10106.0,4,0,2,0,employee,0,23,5.75,0,0.25,1
True,3.0,85.0,166.0,1634.0,2,0,1,1,employee,0,6,3.0,0,0.0,0
True,25.0,608.0,1141.0,14521.0,5,0,1,1,employee,0,30,6.0,0,0.0,0
False,3.0,68.0,138.0,1099.0,3,0,2,0,employee,0,26,8.666666666666666,0,0.0,0
False,3.0,33.0,127.0,952.0,4,0,0,3,employee,0,51,12.75,0,22.0,128
False,2.0,21.0,172.0,2634.0,3,0,2,0,employee,0,15,5.0,0,0.0,0
True,5.0,362.0,308.0,2383.0,2,0,1,0,employee,0,12,6.0,0,0.0,2
False,1.0,6.0,74.0,583.0,1,0,0,1,employee,0,3,3.0,0,0.0,2
False,1.0,6.0,56.0,324.0,1,0,1,0,employee,0,2,2.0,0,0.0,2
False,45.0,255.0,839.0,12533.0,3,0,1,1,employee,0,14,4.666666666666667,0,0.0,0
True,4.0,109.0,202.0,1448.0,8,0,1,2,employee,3,134,16.75,2409,1.25,0
